Counter,PearsonCorrelation
UOPS_DISPATCHED.PORT_6,0.46502744256643125
IDQ.MITE_UOPS,0.4564308282031203
IDQ.MITE_CYCLES_ANY,0.44718273035142037
IDQ.MITE_CYCLES_OK,0.44631178164466334
IDQ.MITE_CYCLES_OK:c6,0.44631178164466334
ICACHE_TAG.HIT,0.44591229536779486
INST_DECODED.DECODERS:c2,0.4449354915563831
FRONTEND_RETIRED.ANY_DSB_MISS,0.4418788328653377
UOPS_ISSUED.ANY:c1,0.4396403098355199
UOPS_ISSUED.ANY,0.43430487231381076
INST_RETIRED.ANY.1,0.433891791955819
UOPS_RETIRED.SLOTS:c1,0.4319099116770131
DECODE.LCP,0.42923146371206045
INST_RETIRED.ANY,0.4274534904650268
BR_INST_RETIRED.NEAR_RETURN.1,0.4252850616555307
BR_INST_RETIRED.ALL_BRANCHES:USER.1,0.42503715275659804
L2_RQSTS.CODE_RD_HIT,0.4236972156772062
BR_INST_RETIRED.ALL_BRANCHES.1,0.4236753961552656
UOPS_EXECUTED.CYCLES_GE_3,0.4235016624159402
BR_INST_RETIRED.COND_NTAKEN,0.42214791474232083
BR_INST_RETIRED.NEAR_CALL.1,0.4209060732933764
UOPS_EXECUTED.THREAD,0.4198070833852058
L2_RQSTS.ALL_CODE_RD,0.41960958721655284
INST_RETIRED.MACRO_FUSED,0.41922856573300316
MACHINE_CLEARS.MEMORY_ORDERING,0.41648207210905464
IDQ_UOPS_NOT_DELIVERED.CORE,0.4155002386017329
BR_INST_RETIRED.COND.1,0.4143694819924064
BR_INST_RETIRED.ALL_BRANCHES:USER,0.41304778369089257
UOPS_RETIRED.SLOTS,0.4127845000897319
ICACHE_TAG.MISS,0.4125338835373662
BR_INST_RETIRED.ALL_BRANCHES,0.4117392798580518
BR_INST_RETIRED.COND,0.40785010571360514
UOPS_DISPATCHED.PORT_7_8,0.404983070310303
UOPS_DISPATCHED.PORT_0,0.40454103766868044
UOPS_DISPATCHED.PORT_4_9,0.4043872523368708
BR_INST_RETIRED.NEAR_TAKEN,0.40107731158458204
BR_MISP_RETIRED.ALL_BRANCHES.1,0.3976142317952955
BR_MISP_RETIRED.ALL_BRANCHES:USER.1,0.3972931407680238
BR_INST_RETIRED.NEAR_RETURN,0.3923973520512043
BR_INST_RETIRED.NEAR_CALL,0.3923941193958422
TOPDOWN.BAD_SPEC_SLOTS,0.3921086233741926
IDQ.DSB_CYCLES_ANY,0.39000225689981527
DSB2MITE_SWITCHES.COUNT,0.38869368316306113
UOPS_DISPATCHED.PORT_5_11,0.38829569873301895
BR_INST_RETIRED.COND_TAKEN,0.3866836157542971
TOPDOWN.BR_MISPREDICT_SLOTS,0.38573250934384495
MEM_INST_RETIRED.ALL_STORES,0.3847931467413622
DTLB_LOAD_MISSES.STLB_HIT.1,0.38371120736564174
DTLB_LOAD_MISSES.STLB_HIT:c1.1,0.38371120736564174
IDQ.DSB_UOPS,0.3798944622767686
BR_INST_RETIRED.COND_TAKEN.1,0.37781957709388714
OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM,0.3768235768114667
UOPS_DISPATCHED.PORT_1,0.3765417271464302
MACHINE_CLEARS.COUNT,0.3752951828271669
UOPS_DISPATCHED.PORT_2_3_10,0.36918133748206255
BR_MISP_RETIRED.COND_TAKEN.1,0.3691558684272047
INST_DECODED.DECODERS:c1,0.36892807012968715
INT_MISC.RECOVERY_CYCLES:c1:e1,0.36861043231920054
IDQ.DSB_CYCLES_OK,0.365035855541918
INT_MISC.ALL_RECOVERY_CYCLES,0.3650212446114086
INT_MISC.RECOVERY_CYCLES,0.3648571368866114
LD_BLOCKS.STORE_FORWARD.1,0.363890725266085
IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE,0.3634280815119646
EXE_ACTIVITY.2_PORTS_UTIL:U0XC,0.36304589054570513
EXE_ACTIVITY.2_PORTS_UTIL:u0xc,0.36304589054570513
BR_MISP_RETIRED.ALL_BRANCHES:USER,0.3617974201527272
MACHINE_CLEARS.SMC.1,0.3616254259378849
BR_MISP_RETIRED.ALL_BRANCHES,0.36054418743837047
MEM_LOAD_RETIRED.L1_HIT,0.36018057770053613
DSB2MITE_SWITCHES.PENALTY_CYCLES,0.36008622053871403
MEM_UOP_RETIRED.ANY,0.35997203881419376
BR_MISP_RETIRED.COND_TAKEN,0.35992199673674297
DTLB_STORE_MISSES.STLB_HIT:c1.1,0.35980346304030786
DTLB_STORE_MISSES.STLB_HIT.1,0.35980346304030786
INT_MISC.CLEAR_RESTEER_CYCLES,0.3585649221389279
CORE_POWER.LICENSE_1:u2,0.35528477393667635
CORE_POWER.LICENSE_1,0.35528477393667635
LD_BLOCKS.DATA_UNKNOWN.1,0.34996009048908405
EXE_ACTIVITY.2_PORTS_UTIL,0.3482787845810619
BACLEARS.ANY.1,0.3434704670531945
MEM_INST_RETIRED.ALL_LOADS,0.34244633363203886
LD_BLOCKS.DATA_UNKNOWN,0.3424334445272935
UOPS_EXECUTED.CORE_CYCLES_GE_1,0.34101237993922795
UOPS_RETIRED.MS.1,0.3406211235555532
BR_INST_RETIRED.INDIRECT.1,0.33197745692928504
BR_INST_RETIRED.INDIRECT,0.32649960402951195
BR_MISP_RETIRED.INDIRECT.1,0.3245432850956006
EXE_ACTIVITY.3_PORTS_UTIL:u0x80,0.32328766785922325
EXE_ACTIVITY.3_PORTS_UTIL:U0X80,0.32328766785922325
BR_MISP_RETIRED.COND_NTAKEN,0.31986644910162815
L2_RQSTS.RFO_HIT,0.3096432865341433
DTLB_STORE_MISSES.STLB_HIT:c1,0.3094264675934869
DTLB_STORE_MISSES.STLB_HIT,0.3094264675934869
DTLB_LOAD_MISSES.STLB_HIT,0.30631240128888415
DTLB_LOAD_MISSES.STLB_HIT:c1,0.30631240128888415
MEM_STORE_RETIRED.L2_HIT,0.30243945607350897
BR_MISP_RETIRED.INDIRECT_CALL.1,0.2970930857398921
EXE_ACTIVITY.1_PORTS_UTIL,0.28698613592331035
BR_MISP_RETIRED.INDIRECT,0.2841035267457258
ITLB_MISSES.STLB_HIT,0.28145334261114807
LD_BLOCKS.STORE_FORWARD,0.27581575102805395
DSB_MISC.FLUSH,0.27500763570387493
L2_RQSTS.ALL_RFO,0.27487974902125106
IDQ.MS_SWITCHES,0.2728328608474641
MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD,0.27225220426210445
ITLB_MISSES.WALK_COMPLETED.1,0.2671218787949229
IDQ.MS_CYCLES_ANY,0.2650338832426649
UOPS_RETIRED.MS,0.2647977233555777
BR_MISP_RETIRED.INDIRECT_CALL,0.2612433199970135
BR_MISP_RETIRED.ALL_BRANCHES:SUP.1,0.2547785273336453
INT_VEC_RETIRED.ADD_128,0.2536404031739541
ICACHE_DATA.STALLS,0.2513223276783314
INT_VEC_RETIRED.MUL_256,0.24968244519344002
INT_VEC_RETIRED.ADD_256,0.24823543309044105
FREERUN_PKG_C2_RESIDENCY.1,0.24755357825047505
INT_VEC_RETIRED.SHUFFLES,0.24714543539515602
BR_INST_RETIRED.FAR_BRANCH:USER.1,0.24059398702522777
INT_MISC.UOP_DROPPING,0.24022289286450305
MEM_INST_RETIRED.LOCK_LOADS,0.24006870002370778
IDQ.MS_UOPS,0.23652613361244587
OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM.1,0.23587683222824826
ARITH.IDIV_ACTIVE.1,0.23352694030562127
FREERUN_CORE_C6_RESIDENCY.1,0.231876716623736
LD_BLOCKS.ADDRESS_ALIAS:u4,0.22679638253304246
LD_BLOCKS.ADDRESS_ALIAS,0.2246481687892147
MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD,0.22284795956697906
LSD.CYCLES_OK,0.2134183708370874
DTLB_LOAD_MISSES.WALK_PENDING.1,0.2085777902421662
FREERUN_PKG_C3_RESIDENCY.1,0.207421534862268
TOPDOWN.SLOTS,0.20631082742873694
TOPDOWN.SLOTS_P,0.20626931061428092
TOPDOWN.SLOTS:perf_metrics,0.2062590236290608
L2_RQSTS.CODE_RD_MISS,0.2059486692934725
LSD.UOPS,0.2052155901445919
CPU_CLK_UNHALTED.DISTRIBUTED,0.20390108981944152
LSD.CYCLES_ACTIVE,0.20123196507358304
CORE_POWER.LICENSE_0,0.20085898994039092
INST_RETIRED.REP_ITERATION,0.19285177738281456
BR_INST_RETIRED.FAR_BRANCH.1,0.19087942375737801
MACHINE_CLEARS.MEMORY_ORDERING.1,0.18366066554967628
OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM.1,0.1826707338038543
CPU_CLK_UNHALTED.THREAD,0.17774763209269298
CPU_CLK_UNHALTED.THREAD_P,0.1775423221168996
ITLB_MISSES.WALK_COMPLETED_2M_4M.1,0.1756851568351605
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,0.17333682074745654
EXE_ACTIVITY.BOUND_ON_STORES,0.17264403458916594
DTLB_LOAD_MISSES.WALK_COMPLETED_4K.1,0.16906498404822903
DTLB_LOAD_MISSES.WALK_COMPLETED.1,0.1652239520243159
TOPDOWN.SLOTS:percore,0.16325153440795703
BR_INST_RETIRED.ALL_BRANCHES:SUP.1,0.16233027624444507
INST_RETIRED.ANY:SUP.1,0.1613826604044588
INST_RETIRED.ANY_P:SUP.1,0.1613826604044588
L2_LINES_OUT.SILENT,0.15925758506321924
OCR.STREAMING_WR.ANY_RESPONSE.1,0.15435431539197436
CYCLE_ACTIVITY.CYCLES_MEM_ANY,0.15208147080148465
ITLB_MISSES.WALK_COMPLETED_2M_4M,0.14770661811460511
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M.1,0.1427624229122535
INT_MISC.SMT_STALL,0.1389171024039111
CPU_CLK_UNHALTED.THREAD.1,0.13185377905363022
CPU_CLK_UNHALTED.THREAD_P.1,0.12974069091538526
MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,0.1260165267362245
DTLB_LOAD_MISSES.WALK_ACTIVE,0.12027467591882648
ITLB_MISSES.WALK_PENDING.1,0.11959764124106959
INT_MISC.UNKNOWN_BRANCH_CYCLES,0.11836705865719442
L2_RQSTS.REFERENCES,0.10754249331367438
RESOURCE_STALLS.SCOREBOARD,0.10675759453582245
DTLB_LOAD_MISSES.WALK_COMPLETED,0.1033843475326231
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,0.10329304898962853
BR_INST_RETIRED.ALL_BRANCHES:SUP,0.09993942416595739
ARITH.IDIV_ACTIVE,0.09225364935434423
ARITH.INT_DIVIDER_ACTIVE,0.09225364935434423
ITLB_MISSES.WALK_COMPLETED,0.09063295285020262
ICACHE_TAG.STALLS,0.08927048406708349
L2_RQSTS.DEMAND_DATA_RD_HIT,0.08614808448592175
MEM_LOAD_RETIRED.L2_HIT,0.08522885140016426
UOPS_ISSUED.STALLS,0.0834198875776517
FREERUN_PKG_C6_RESIDENCY.1,0.08149418153837162
DTLB_LOAD_MISSES.WALK_PENDING,0.08054438386327692
ITLB_MISSES.WALK_ACTIVE,0.07785403013434469
ITLB_MISSES.WALK_PENDING,0.07369802642241759
HW_INTERRUPTS.RECEIVED,0.06480126179444234
INST_RETIRED.ANY:SUP,0.06426438666966569
INST_RETIRED.ANY_P:SUP,0.06426438666966569
OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD.1,0.0637267574873257
MACHINE_CLEARS.SMC,0.06282022754397887
BR_MISP_RETIRED.RET,0.06205446224745724
CPU_CLK_UNHALTED.REF_DISTRIBUTED,0.06178570073820937
OCR.STREAMING_WR.ANY_RESPONSE,0.061542186765425916
TSC,0.06116220666550699
L1D.REPLACEMENT,0.06072739184146203
MACHINE_CLEARS.NUKE_ASSERTED,0.05980333473873902
L2_RQSTS.ALL_DEMAND_DATA_RD,0.055942280736614086
CPU_CLK_UNHALTED.REF_TSC,0.05385477571484776
CPU_CLK_UNHALTED.THREAD_P:SUP,0.04779747616086388
CPU_CLK_UNHALTED.THREAD:SUP,0.047797393126379095
CPU_CLK_UNHALTED.C0_WAIT,0.046064692879789246
CPU_CLK_UNHALTED.PAUSE,0.046064692879789246
CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,0.04441906004538887
L2_LINES_OUT.USELESS_HWPF,0.04229349909715675
CYCLE_ACTIVITY.STALLS_TOTAL,0.03560990595096371
MEM_LOAD_RETIRED.L1_MISS,0.03505471572598791
MEM_LOAD_COMPLETED.L1_MISS_ANY,0.026233655889539464
CPU_CLK_UNHALTED.THREAD_P:SUP.1,0.020555462783850113
CPU_CLK_UNHALTED.THREAD:SUP.1,0.020555462783850113
BR_INST_RETIRED.FAR_BRANCH,0.01946538957242578
HW_INTERRUPTS.RECEIVED.1,0.013475280377329148
CORE_POWER.LICENSE_2,0.009383671844869565
INST_RETIRED.NOP,0.00920361727130578
CORE_POWER.LICENSE_2:u4,0.00834847539114954
DTLB_STORE_MISSES.WALK_COMPLETED,0.0038463590354476753
DTLB_LOAD_MISSES.WALK_COMPLETED_1G,0.003596118567620812
ARITH.DIVIDER_ACTIVE,0.002007171139068478
L2_RQSTS.ALL_HWPF,0.0016060809116682732
BR_MISP_RETIRED.ALL_BRANCHES:SUP,8.040174190107737e-05
BR_INST_RETIRED.FAR_BRANCH:USER,-0.0017519318138160774
EXE_ACTIVITY.BOUND_ON_LOADS,-0.0041525457244754715
MEM_LOAD_RETIRED.L3_HIT,-0.00494060021696327
LONGEST_LAT_CACHE.REFERENCE.1,-0.00569727034975625
MEM_LOAD_RETIRED.FB_HIT,-0.016637287617425087
MEM_INST_RETIRED.STLB_MISS_STORES,-0.020255418663315365
TSC.1,-0.021719161300130272
CYCLE_ACTIVITY.CYCLES_L1D_MISS,-0.030693756490626847
MEMORY_ACTIVITY.CYCLES_L1D_MISS,-0.030777656474568336
L1D_PEND_MISS.PENDING_CYCLES,-0.03091668328990616
CPU_CLK_UNHALTED.REF_TSC.1,-0.03330972365558209
TOPDOWN.BACKEND_BOUND_SLOTS,-0.03388692324568319
L2_RQSTS.MISS,-0.034276179043739814
L2_LINES_IN.ALL,-0.03608419830533922
MEMORY_ACTIVITY.STALLS_L3_MISS,-0.03906587933916462
MEMORY_ACTIVITY.STALLS_L1D_MISS,-0.040219597066194476
FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,-0.041133594452570574
LONGEST_LAT_CACHE.REFERENCE,-0.04130577542487571
L2_LINES_OUT.NON_SILENT,-0.04341376411039103
FP_ARITH_INST_RETIRED.SCALAR,-0.04480093205089454
FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE,-0.044826016293868676
MEMORY_ACTIVITY.STALLS_L2_MISS,-0.04498250185431518
FP_ARITH_INST_RETIRED.SCALAR_SINGLE,-0.04901046388092497
L2_RQSTS.DEMAND_DATA_RD_MISS,-0.050131622556757155
ARITH.FPDIV_ACTIVE.1,-0.05040343198402658
TOPDOWN.MEMORY_BOUND_SLOTS,-0.05128620333636648
FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE,-0.051954015181751204
LD_BLOCKS.ADDRESS_ALIAS.1,-0.06220961055996587
LD_BLOCKS.ADDRESS_ALIAS:u4.1,-0.06221093401030123
ARITH.FPDIV_ACTIVE,-0.06372465418628681
ARITH.FP_DIVIDER_ACTIVE,-0.06372465418628681
DTLB_STORE_MISSES.WALK_PENDING,-0.06998002866984362
LONGEST_LAT_CACHE.MISS.1,-0.07818069095699924
LONGEST_LAT_CACHE.MISS,-0.08089336795525215
IDI_MISC.WB_DOWNGRADE,-0.08174967976971917
DTLB_STORE_MISSES.WALK_ACTIVE,-0.08346969967991655
UOPS_EXECUTED.X87,-0.08515137839858143
MEM_LOAD_RETIRED.L2_MISS,-0.09026694249150771
L1D_PEND_MISS.PENDING,-0.0906445522989903
CORE_POWER.LICENSE_3,-0.09298342707937862
CORE_POWER.LICENSE_3:u8,-0.09298342707937862
DTLB_STORE_MISSES.WALK_PENDING.1,-0.09331202107719833
MEM_LOAD_RETIRED.L3_MISS,-0.0966219385268826
MISALIGN_MEM_REF.STORE_PAGE_SPLIT.1,-0.09857995258240787
MISALIGN_MEM_REF.LOAD_PAGE_SPLIT.1,-0.10328934557609146
L1D_PEND_MISS.FB_FULL,-0.10753406155252022
L1D_PEND_MISS.FB_FULL_PERIODS,-0.1078684583078176
MISALIGN_MEM_REF.STORE_PAGE_SPLIT,-0.11346230113467681
DTLB_STORE_MISSES.WALK_COMPLETED.1,-0.11953548310550044
MISALIGN_MEM_REF.LOAD_PAGE_SPLIT,-0.12457428730074924
CPU_CLK_UNHALTED.REF_TSC:SUP.1,-0.12666484190352995
LD_BLOCKS.NO_SR,-0.13372886300535422
CPU_CLK_UNHALTED.REF_TSC:SUP,-0.13406845126746544
MEM_INST_RETIRED.SPLIT_STORES,-0.13768834112077788
XQ.FULL_CYCLES,-0.13786257159029433
FP_ARITH_DISPATCHED.PORT_0,-0.15240710406659716
FP_ARITH_DISPATCHED.PORT_5,-0.15446189546297773
FP_ARITH_DISPATCHED.PORT_1,-0.157126910776207
FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE,-0.16151545134520592
FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE,-0.170982688376556
L1D_PEND_MISS.L2_STALLS,-0.17482017153471022
EPT.EPDE_HIT,
EPT.EPDE_MISS,
EPT.EPDPE_HIT,
EPT.EPDPE_MISS,
EPT.HLAT_RESTART,
EPT.WALK_ACTIVE,
EPT.WALK_PENDING,
INT_VEC_RETIRED.VNNI_128,
INT_VEC_RETIRED.VNNI_256,
OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM,
OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD,
THREADS_ACTIVE.IN_C0E1,
THREADS_ACTIVE.IN_C0E2,
DTLB_LOAD_MISSES.WALK_COMPLETED_1G.1,
EPT.EPDE_HIT.1,
EPT.EPDE_MISS.1,
EPT.EPDPE_HIT.1,
EPT.EPDPE_MISS.1,
EPT.WALK_PENDING.1,
FREERUN_CORE_C3_RESIDENCY.1,
QPI.1,
